9/28/1990,280,$151   \pm  11$,"2,229","$2,203  \pm 89$",,,,,
7/26/1991,319,$202   \pm  13$,"2,388","$2,544  \pm 96$",,,,,
11/23/1991,272,$167   \pm  11$,"1,668","$1,702  \pm 67$",,,,,
10/15/1992,324,$213   \pm  13$,"2,963","$2,753  \pm 119$",,,,,
4/1/1993,269,$174   \pm  11$,"2,806","$2,551  \pm 112$",,,,,
11/17/1993,270,$153   \pm  11$,"1,973","$2,241  \pm 79$","5,242","$20,395  \pm 943$","$22,790  \pm 1,033$",,
4/7/1994,265,$142   \pm  11$,"2,476","$2,326  \pm 99$","4,604","$23,301  \pm 829$","$25,769  \pm 938$","$46,569  \pm 2,891$","$72,338  \pm 3,829$"
10/21/1994,284,$164   \pm  11$,"2,210","$2,139  \pm 88$","5,081","$20,769  \pm 915$","$23,072  \pm 1,014$","$48,198  \pm 3,025$","$71,271  \pm 4,039$"
4/24/1995,276,$156   \pm  11$,"2,565","$2,359  \pm 103$","4,736","$22,689  \pm 852$","$25,204  \pm 966$","$51,422  \pm 3,040$","$76,626  \pm 4,006$"
6/23/1995,281,$147   \pm  11$,"2,503","$2,402  \pm 100$","4,791","$21,425  \pm 862$","$23,974  \pm 974$","$45,075  \pm 3,041$","$69,049  \pm 4,014$"
2/13/1996,281,$144   \pm  11$,825,"$1,223  \pm 33$","6,466","$15,139  \pm 1,164$","$16,506  \pm 1,208$","$23,772  \pm 3,041$","$40,278  \pm 4,249$"
4/16/1996,306,$162   \pm  12$,845,"$1,360  \pm 34$","6,420","$6,736  \pm 1,156$","$8,257  \pm 1,202$","$7,113  \pm 3,040$","$15,371  \pm 4,242$"
9/13/1996,309,$175   \pm  12$,348,$763  \pm 14$,"6,905","$8,210  \pm 1,243$","$9,148  \pm 1,269$","$4,677  \pm 3,041$","$13,826  \pm 4,310$"
2/14/1997,277,$180   \pm  11$,396,$647  \pm 16$,"6,907","$9,188  \pm 1,243$","$10,014  \pm 1,270$","$6,904  \pm 3,041$","$16,918  \pm 4,311$"
4/20/1997,236,$165   \pm  9$,352,$519  \pm 14$,"7,003","$10,471  \pm 1,261$","$11,155  \pm 1,284$","$12,596  \pm 3,041$","$23,750  \pm 4,325$"
8/24/1997,155,$72   \pm  6$,349,$290  \pm 14$,"7,079","$12,703  \pm 1,274$","$13,064  \pm 1,294$","$17,726  \pm 3,041$","$30,791  \pm 4,335$"
11/3/1997,144,$55   \pm  6$,"1,313","$1,167  \pm 53$","6,124","$14,852  \pm 1,102$","$16,074  \pm 1,161$","$45,774  \pm 3,041$","$61,848  \pm 4,202$"
11/6/1997,156,$63   \pm  6$,707,$625  \pm 28$,"6,729","$13,016  \pm 1,211$","$13,705  \pm 1,246$","$35,913  \pm 3,041$","$49,618  \pm 4,287$"
4/15/1998,160,$80   \pm  6$,342,$297  \pm 14$,"7,015","$13,981  \pm 1,263$","$14,358  \pm 1,283$","$21,685  \pm 3,039$","$36,043  \pm 4,322$"
5/6/1999,132,$38   \pm  5$,"1,056",$451  \pm 42$,"6,411","$17,611  \pm 1,154$","$18,100  \pm 1,202$","$39,365  \pm 3,040$","$57,466  \pm 4,242$"
3/18/2000,128,$41   \pm  5$,"2,093","$2,047  \pm 84$","5,371","$20,822  \pm 967$","$22,911  \pm 1,056$","$35,123  \pm 3,006$","$58,034  \pm 4,062$"
6/2/2000,137,$42   \pm  5$,759,$576  \pm 30$,,$$,$$,$$,$$
8/19/2000,139,$41   \pm  6$,750,$553  \pm 30$,"6,713","$12,459  \pm 1,208$","$13,053  \pm 1,244$","$21,156  \pm 3,018$","$34,209  \pm 4,262$"
9/9/2000,141,$38   \pm  6$,808,$574  \pm 32$,"6,651","$12,259  \pm 732$","$12,870  \pm 770$","$20,654  \pm 1,849$","$33,525  \pm 2,619$"
10/5/2001,139,$39   \pm  6$,"1,070",$844  \pm 43$,,$$,$$,$$,$$
4/27/2002,143,$45   \pm  6$,895,$663  \pm 36$,"6,462","$15,831  \pm 711$","$16,540  \pm 752$","$27,897  \pm 1,858$","$44,437  \pm 2,610$"
9/20/2002,148,$55   \pm  6$,791,$514  \pm 32$,,$$,$$,$$,$$
4/25/2003,140,$39   \pm  6$,701,$438  \pm 28$,,$$,$$,$$,$$
9/20/2003,128,$25   \pm  5$,680,$420  \pm 27$,,$$,$$,$$,$$
6/1/2004,131,$29   \pm  5$,"1,334",$896  \pm 53$,"6,136","$19,570  \pm 675$","$20,494  \pm 734$","$35,686  \pm 1,858$","$56,180  \pm 2,592$"
11/13/2004,129,$26   \pm  5$,"2,012","$1,091  \pm 80$","5,338","$22,931  \pm 587$","$24,048  \pm 673$","$50,734  \pm 1,858$","$74,783  \pm 2,531$"
12/2/2004,262,$66   \pm  10$,"1,360","$1,635  \pm 54$","5,980","$15,261  \pm 658$","$16,962  \pm 723$","$22,236  \pm 1,852$","$39,198  \pm 2,575$"
5/7/2005,180,$62   \pm  7$,"2,143","$2,088  \pm 86$",,$$,$$,$$,$$
10/7/2006,173,$57   \pm  7$,"1,550","$1,276  \pm 62$",,$$,$$,$$,$$
10/13/2007,160,$49   \pm  6$,"2,611","$1,967  \pm 104$",,$$,$$,$$,$$
2/2/2008,162,$50   \pm  6$,"2,257","$1,738  \pm 90$","5,106","$24,295  \pm 562$","$26,082  \pm 658$","$63,736  \pm 1,842$","$89,818  \pm 2,500$"
3/28/2008,169,$53   \pm  7$,718,$616  \pm 29$,"6,688","$10,646  \pm 736$","$11,315  \pm 771$","$22,665  \pm 1,858$","$33,980  \pm 2,629$"
5/17/2008,165,$54   \pm  7$,576,$482  \pm 23$,,$$,$$,$$,$$
10/11/2008,161,$53   \pm  6$,575,$407  \pm 23$,,$$,$$,$$,$$
10/10/2009,162,$57   \pm  6$,"1,057",$515  \pm 42$,,$$,$$,$$,$$
10/5/2011,159,$48   \pm  6$,164,$192  \pm 7$,,$$,$$,$$,$$
10/3/2012,150,$46   \pm  6$,811,$324  \pm 32$,,$$,$$,$$,$$
9/21/2013,116,$29   \pm  5$,"1,406",$564  \pm 56$,,$$,$$,$$,$$
9/24/2014,121,$29   \pm  5$,"1,276","$1,036  \pm 51$",,$$,$$,$$,$$
9/23/2015,134,$32   \pm  5$,"1,272","$1,051  \pm 51$",,$$,$$,$$,$$
10/1/2016,132,$36   \pm  5$,"1,385","$1,232  \pm 55$",,$$,$$,$$,$$
